so_id,architecture,seed_file,source_url,source_title,source_author_display_name,source_author_url,source_creation_date,source_content_license,adaptation_note,retrieved_via,retrieved_date
72440268,CNN,data/seed_programs/cnn/CNN_72440268_correct.py,https://stackoverflow.com/questions/72440268/logits-and-labels-must-have-the-same-first-dimension-got-logits-shape-2048-10,"logits and labels must have the same first dimension, got logits shape [2048,10] and labels shape [32]",user17792511,,2022-05-30,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
72965428,CNN,data/seed_programs/cnn/CNN_72965428_correct.py,https://stackoverflow.com/questions/72965428/why-is-a-cnn-model-struggling-to-classify-a-colored-mnist,Why is a CNN model struggling to classify a colored MNIST?,pandarouge,https://stackoverflow.com/users/3381560/pandarouge,2022-07-13,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
73146829,CNN,data/seed_programs/cnn/CNN_73146829_correct.py,https://stackoverflow.com/questions/73146829/merge-multiple-cnn-models,Merge multiple CNN models,Fatin Faiaz Isty,https://stackoverflow.com/users/19167230/fatin-faiaz-isty,2022-07-28,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
76132850,CNN,data/seed_programs/cnn/CNN_76132850_correct.py,https://stackoverflow.com/questions/76132850/problems-writing-a-cnn-classifier-for-on-image-data,Problems writing a CNN classifier for on-image data,Matheus Torres,https://stackoverflow.com/users/8577067/matheus-torres,2023-04-28,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
31556268,FNN,data/seed_programs/fnn/FNN_31556268_correct.py,https://stackoverflow.com/questions/31556268/how-to-use-keras-for-xor,How to use keras for XOR,Jaspn Wjbian,https://stackoverflow.com/users/5142261/jaspn-wjbian,2015-07-22,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
31880720,FNN,data/seed_programs/fnn/FNN_31880720_correct.py,https://stackoverflow.com/questions/31880720/how-to-prepare-a-dataset-for-keras,How to prepare a dataset for Keras?,Michael,https://stackoverflow.com/users/3828416/michael,2015-08-07,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
34311586,FNN,data/seed_programs/fnn/FNN_34311586_correct.py,https://stackoverflow.com/questions/34311586/cannot-train-a-neural-network-solving-xor-mapping,Cannot train a neural network solving XOR mapping,Aditya Shinde,https://stackoverflow.com/users/4393339/aditya-shinde,2015-12-16,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
44164749,FNN,data/seed_programs/fnn/FNN_44164749_correct.py,https://stackoverflow.com/questions/44164749/how-does-keras-handle-multilabel-classification,How does Keras handle multilabel classification?,user798719,https://stackoverflow.com/users/798719/user798719,2017-05-24,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
46642627,FNN,data/seed_programs/fnn/FNN_46642627_correct.py,https://stackoverflow.com/questions/46642627/keras-accuracy-stays-zero,Keras: Accuracy stays zero,Markus Appel,https://stackoverflow.com/users/7037695/markus-appel,2017-10-09,CC BY-SA 3.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
48385830,FNN,data/seed_programs/fnn/FNN_48385830_correct.py,https://stackoverflow.com/questions/48385830/simple-keras-neural-network-isnt-learning,Simple Keras neural network isn't learning,DylanSp,https://stackoverflow.com/users/5847190/dylansp,2018-01-22,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
48934338,FNN,data/seed_programs/fnn/FNN_48934338_correct.py,https://stackoverflow.com/questions/48934338/non-linear-regression-why-isnt-the-model-learning,Non linear Regression: Why isn't the model learning?,red5pider,https://stackoverflow.com/users/5140369/red5pider,2018-02-22,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
50201540,FNN,data/seed_programs/fnn/FNN_50201540_correct.py,https://stackoverflow.com/questions/50201540/im-getting-a-0-accuracy-for-this-keras-neural-network,I'm getting a 0% accuracy for this keras neural network,olivier Noumbi,https://stackoverflow.com/users/7169168/olivier-noumbi,2018-05-06,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
50306988,FNN,data/seed_programs/fnn/FNN_50306988_correct.py,https://stackoverflow.com/questions/50306988/neural-net-fails-on-toy-dataset,Neural net fails on toy dataset,Anton,https://stackoverflow.com/users/4200103/anton,2018-05-12,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
50481178,FNN,data/seed_programs/fnn/FNN_50481178_correct.py,https://stackoverflow.com/questions/50481178/keras-mlp-accuracy-zero,keras MLP accuracy zero,Zedaiq,https://stackoverflow.com/users/4244607/zedaiq,2018-05-23,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
52800582,FNN,data/seed_programs/fnn/FNN_52800582_correct.py,https://stackoverflow.com/questions/52800582/why-do-i-fail-to-predict-y-x4-with-keras-y-x3-works,Why do I fail to predict y=x**4 with Keras? (y=x**3 works),Chris,https://stackoverflow.com/users/10500621/chris,2018-10-14,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
55328966,FNN,data/seed_programs/fnn/FNN_55328966_correct.py,https://stackoverflow.com/questions/55328966/tf-keras-loss-becomes-nan,tf.keras loss becomes NaN,Ronan Venkat,https://stackoverflow.com/users/11107475/ronan-venkat,2019-03-24,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
64151679,FNN,data/seed_programs/fnn/FNN_64151679_correct.py,https://stackoverflow.com/questions/64151679/deep-neural-network-not-learning-anything,Deep Neural Network Not Learning Anything,Vaibhav Choudhary,https://stackoverflow.com/users/10518604/vaibhav-choudhary,2020-10-01,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
64634468,FNN,data/seed_programs/fnn/FNN_64634468_correct.py,https://stackoverflow.com/questions/64634468/why-the-neural-network-is-not-learning,Why the neural network is not learning?,Slevin_42,https://stackoverflow.com/users/11399492/slevin-42,2020-11-01,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
66468006,FNN,data/seed_programs/fnn/FNN_66468006_correct.py,https://stackoverflow.com/questions/66468006/why-is-the-keras-model-less-accurate-and-not-recognized,Why is the keras model less accurate and not recognized?,코어랩,https://stackoverflow.com/users/14498371/%ec%bd%94%ec%96%b4%eb%9e%a9,2021-03-04,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
66840108,FNN,data/seed_programs/fnn/FNN_66840108_correct.py,https://stackoverflow.com/questions/66840108/keras-producing-model-with-no-accuracy,Keras producing model with no accuracy,DrRed,https://stackoverflow.com/users/14759304/drred,2021-03-28,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
51971180,RNN,data/seed_programs/rnn/rnn_51971180_correct.py,https://stackoverflow.com/questions/51971180/keras-gru-model-predicts-only-0-0-0-0-0,"Keras GRU model predicts only [-0., -0., -0., -0., -0.]",Vassily,https://stackoverflow.com/users/5133852/vassily,2018-08-22,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
51981187,RNN,data/seed_programs/rnn/rnn_51981187_correct.py,https://stackoverflow.com/questions/51981187,Unavailable via Stack Exchange API,Unavailable via Stack Exchange API,,,Unknown - source metadata unavailable via Stack Exchange API; verify source post before redistribution,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
52782432,RNN,data/seed_programs/rnn/rnn_52782432_correct.py,https://stackoverflow.com/questions/52782432,Unavailable via Stack Exchange API,Unavailable via Stack Exchange API,,,Unknown - source metadata unavailable via Stack Exchange API; verify source post before redistribution,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
61553510,RNN,data/seed_programs/rnn/rnn_61553510_correct.py,https://stackoverflow.com/questions/61553510/tensorflow-2-lstm-invalidargumenterror-shapes-of-all-inputs-must-match,Tensorflow 2 LSTM: InvalidArgumentError: Shapes of all inputs must match,Nicolas Gervais,https://stackoverflow.com/users/10908375/nicolas-gervais,2020-05-02,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
66907936,RNN,data/seed_programs/rnn/rnn_66907936_correct.py,https://stackoverflow.com/questions/66907936/valueerror-with-shapes-using-bidirectional-lstm,ValueError with Shapes using Bidirectional LSTM,ksivakumar,https://stackoverflow.com/users/5020491/ksivakumar,2021-04-01,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
66952606,RNN,data/seed_programs/rnn/rnn_66952606_correct.py,https://stackoverflow.com/questions/66952606/what-is-this-flatten-layer-doing-in-my-lstm,What is this flatten layer doing in my LSTM?,treen,https://stackoverflow.com/users/15557058/treen,2021-04-05,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
67155624,RNN,data/seed_programs/rnn/rnn_67155624_correct.py,https://stackoverflow.com/questions/67155624/keras-lstm-loading-data-from-csv-expected-ndim-3-found-ndim-2-full-shape-rece,"Keras LSTM loading data from CSV ""expected ndim=3, found ndim=2. Full shape received: (None, 150)""",joseph cornell,https://stackoverflow.com/users/10358550/joseph-cornell,2021-04-19,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
67169344,RNN,data/seed_programs/rnn/rnn_67169344_correct.py,https://stackoverflow.com/questions/67169344/unknown-error-crash-tensorflow-lstm-with-gpu-no-output-after-start-of-1st-epo,Unknown error/crash - TensorFlow LSTM with GPU (no output after start of 1st epoch),Brunon Blok,https://stackoverflow.com/users/7241989/brunon-blok,2021-04-19,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
67590787,RNN,data/seed_programs/rnn/rnn_67590787_correct.py,https://stackoverflow.com/questions/67590787/valueerror-input-0-of-layer-lstm-1-is-incompatible-with-the-layer-expected-ndi,"ValueError: Input 0 of layer lstm_1 is incompatible with the layer: expected ndim=3, found ndim=2. Full shape received: (None, 64)",Burger,https://stackoverflow.com/users/10465029/burger,2021-05-18,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
67649606,RNN,data/seed_programs/rnn/rnn_67649606_correct.py,https://stackoverflow.com/questions/67649606/error-in-reverse-scaling-outputs-predicted-by-a-lstm-rnn,Error in reverse scaling outputs predicted by a LSTM RNN,Samar Pratap Singh,https://stackoverflow.com/users/11589463/samar-pratap-singh,2021-05-22,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
67727890,RNN,data/seed_programs/rnn/rnn_67727890_correct.py,https://stackoverflow.com/questions/67727890/rnn-lstm-valueerror-while-training,RNN LSTM valueError while training,radinvafaei,https://stackoverflow.com/users/6114448/radinvafaei,2021-05-27,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
68061611,RNN,data/seed_programs/rnn/rnn_68061611_correct.py,https://stackoverflow.com/questions/68061611/lstm-occurs-valueerror-shapes-5-2-3-and-5-3-are-incompatible,"LSTM occurs ValueError: Shapes (5, 2, 3) and (5, 3) are incompatible",SINFER,https://stackoverflow.com/users/3671284/sinfer,2021-06-21,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
68103873,RNN,data/seed_programs/rnn/rnn_68103873_correct.py,https://stackoverflow.com/questions/68103873/fine-tuning-universal-sentence-encoder-with-lstm,Fine-tuning Universal Sentence Encoder with LSTM,United121,https://stackoverflow.com/users/1551954/united121,2021-06-23,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
68109005,RNN,data/seed_programs/rnn/rnn_68109005_correct.py,https://stackoverflow.com/questions/68109005/didnt-understand-expected-shape-none-none-1100-found-shape-1-29907-1,"Didn't understand ,expected shape=(None, None, 1100), found shape=(1, 29907, 1), Confusion about LSTM input shape? (the data is genome sequence)",Mahfuz,https://stackoverflow.com/users/15910225/mahfuz,2021-06-24,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
68323793,RNN,data/seed_programs/rnn/rnn_68323793_correct.py,https://stackoverflow.com/questions/68323793/keras-lstm-input-valueerror-shapes-are-incompatible,Keras LSTM input ValueError: Shapes are incompatible,Matheus Schaly,https://stackoverflow.com/users/8359217/matheus-schaly,2021-07-10,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
68692047,RNN,data/seed_programs/rnn/rnn_68692047_correct.py,https://stackoverflow.com/questions/68692047/why-accuracy-stays-zero-in-keras-lstm-while-other-metrics-improve-when-training,Why accuracy stays zero in Keras LSTM while other metrics improve when training?,Sidath Munasinghe,https://stackoverflow.com/users/3257970/sidath-munasinghe,2021-08-07,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
68716219,RNN,data/seed_programs/rnn/rnn_68716219_correct.py,https://stackoverflow.com/questions/68716219/validation-accuracy-is-much-less-than-training-accuracy,Validation accuracy is much less than Training accuracy,Gautam Goyal,https://stackoverflow.com/users/12810581/gautam-goyal,2021-08-09,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
69364684,RNN,data/seed_programs/rnn/rnn_69364684_correct.py,https://stackoverflow.com/questions/69364684/why-some-of-the-hidden-units-return-zero-in-the-gru-autoencoder,Why some of the hidden units return zero in the GRU autoencoder?,Mohammad,https://stackoverflow.com/users/9376814/mohammad,2021-09-28,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
69906416,RNN,data/seed_programs/rnn/rnn_69906416_correct.py,https://stackoverflow.com/questions/69906416/forecast-future-values-with-lstm-in-python,Forecast future values with LSTM in Python,WillTheWA,https://stackoverflow.com/users/17351803/willthewa,2021-11-09,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
70217712,RNN,data/seed_programs/rnn/rnn_70217712_correct.py,https://stackoverflow.com/questions/70217712/lstm-network-loss-is-nan-for-batch-size-bigger-than-one,LSTM network loss is nan for batch size bigger than one,Khaled Bagh,https://stackoverflow.com/users/17581453/khaled-bagh,2021-12-03,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
70406438,RNN,data/seed_programs/rnn/rnn_70406438_correct.py,https://stackoverflow.com/questions/70406438/predict-method-gives-error-for-created-model,Predict Method Gives Error for Created Model,imdatyaa,https://stackoverflow.com/users/17465930/imdatyaa,2021-12-18,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
70777445,RNN,data/seed_programs/rnn/rnn_70777445_correct.py,https://stackoverflow.com/questions/70777445/valueerror-can-not-squeeze-dim1-expected-a-dimension-of-1-for-node-binary,"ValueError: Can not squeeze dim[1], expected a dimension of 1 for '{{node binary_crossentropy/weighted_loss/Squeeze}}",Tobias Braun,https://stackoverflow.com/users/11537862/tobias-braun,2022-01-19,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
71251340,RNN,data/seed_programs/rnn/rnn_71251340_correct.py,https://stackoverflow.com/questions/71251340/keras-stateful-lstm-error-specified-a-list-with-shape-4-1-from-a-tensor-with,"Keras stateful LSTM error: Specified a list with shape [4,1] from a tensor with shape [32,1]",bolli,https://stackoverflow.com/users/8773367/bolli,2022-02-24,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
71351646,RNN,data/seed_programs/rnn/rnn_71351646_correct.py,https://stackoverflow.com/questions/71351646/lstm-to-predict-time-sequence-for-multiple-regions,LSTM to predict time sequence for multiple regions,goldmariek,https://stackoverflow.com/users/18004457/goldmariek,2022-03-04,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
71494820,RNN,data/seed_programs/rnn/rnn_71494820_correct.py,https://stackoverflow.com/questions/71494820/training-loss-is-nan-but-trainning-data-is-all-in-range-without-null,training loss is Nan - but trainning data is all in range without null,yunfei,https://stackoverflow.com/users/1153026/yunfei,2022-03-16,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
72795591,RNN,data/seed_programs/rnn/rnn_72795591_correct.py,https://stackoverflow.com/questions/72795591/tfidf-vector-into-lstm-model,TFIDF vector into LSTM model,Fatin Faiaz Isty,https://stackoverflow.com/users/19167230/fatin-faiaz-isty,2022-06-29,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
73148058,RNN,data/seed_programs/rnn/rnn_73148058_correct.py,https://stackoverflow.com/questions/73148058/shaping-tf-data-as-input-for-lstm-layer-fails-with-incompatible-dimensions,shaping tf.Data as input for LSTM layer fails with incompatible dimensions,perrohunter,https://stackoverflow.com/users/53991/perrohunter,2022-07-28,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
73457069,RNN,data/seed_programs/rnn/rnn_73457069_correct.py,https://stackoverflow.com/questions/73457069/why-does-my-lstm-model-predict-wrong-values-although-the-loss-is-decreasing,Why does my LSTM model predict wrong values although the loss is decreasing?,Luca Tatas,https://stackoverflow.com/users/13990977/luca-tatas,2022-08-23,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
73765263,RNN,data/seed_programs/rnn/rnn_73765263_correct.py,https://stackoverflow.com/questions/73765263/why-is-my-tensorflow-lstm-timeseries-model-returning-only-one-value-into-the-fut,Why is my Tensorflow LSTM Timeseries model returning only one value into the future,TTWT,https://stackoverflow.com/users/19893952/ttwt,2022-09-18,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
77416892,RNN,data/seed_programs/rnn/rnn_77416892_correct.py,https://stackoverflow.com/questions/77416892/training-lstm-on-1-d-data,Training LSTM on 1 D data,M Germanos,https://stackoverflow.com/users/6241158/m-germanos,2023-11-03,CC BY-SA 4.0,Seed program adapted/corrected for deterministic execution and Deep4ge logging; see docs/PROVENANCE.md.,Stack Exchange API v2.3 /questions,2026-05-05
